Program:,Program link:,County:,Savings (electricity consumption reduction in kwh):,MEA contribution:,Total project cost:,Location 1
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.365,747.50,1950.00,"Bethesda, MD 208176536
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,3.661,1895.57,5230.20,"Lanham, MD 207062475
(38.965360000164026, -76.84934999980248)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,4.936,2428.13,7051.80,"Galesville, MD 207653103
(38.8466577116842, -76.54821500022194)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,11.068,2906.52,15811.15,"Annapolis, MD 214017832
(38.983799999770326, -76.52959999974007)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Queen Anne's,3.302,1715.77,4716.47,"Centreville, MD 216171746
(39.0495100001865, -76.04999999989991)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.878,2038.78,5539.37,"Takoma Park, MD 209124515
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.125,1662.27,4463.64,"Silver Spring, MD 209022654
(39.040070000130584, -77.04648000015175)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,6.286,3100.00,8980.00,"Berwyn Heights, MD 207402742
(38.99670000020501, -76.92859999959018)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,2.464,355.50,3520.00,"Baltimore, MD 212243747
(39.28476999983582, -76.55652000009775)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.599,1399.52,3712.97,"Hyattsville, MD 207842365
(38.94986999990073, -76.89096999996536)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.974,958.20,4249.00,"Upper Marlboro, MD 207724343
(38.79462000001314, -76.78639000029813)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.783,1491.25,3975.00,"University Park, MD 207821140
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.086,1200.05,5836.60,"Gaithersburg, MD 208783475
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,3.358,1743.95,4797.00,"Berlin, MD 218111102
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.42,1775.19,4886.22,"Derwood, MD 208551660
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.1,1062.50,3000.00,"Gaithersburg, MD 208783218
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,3.206,1545.50,4580.00,"Pasadena, MD 211224854
(39.12812000013804, -76.51918000035658)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,6.867,835.25,9810.00,"Columbia, MD 210443816
(39.21588000026196, -76.87450999993638)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.198,1451.39,4569.10,"Bethesda, MD 208163303
(38.9582699996609, -77.11435999991392)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.998,1063.98,2854.21,"Kensington, MD 208951038
(39.02898999998865, -77.07798999993838)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.432,642.50,2045.00,"Bowie, MD 207153129
(38.97987000020049, -76.74245999972908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,1.904,1003.00,2720.00,"Fredrick, MD 217047861
(39.36518999961896, -77.38134999960266)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.894,1011.82,2705.21,"Silver Spring, MD 209045447
(39.06570000035492, -76.97212999969958)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.343,3100.00,9062.00,"Kensington, MD 208952712
(39.02898999998865, -77.07798999993838)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.31,1255.00,3300.00,"Potomac, MD 208546386
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,3.695,1947.30,5278.00,"University Park, MD 207821428
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.507,1353.00,3581.00,"University Park, MD 207821420
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,2.8,1326.75,4000.00,"Crofton, MD 211141629
(39.01105999961948, -76.68445999962915)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.748,1374.10,3926.00,"Silver Spring, MD 209011126
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.265,3092.50,8950.00,"Montgomery Village, MD 208861334
(39.17500000005015, -77.1960800002916)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,2.895,1407.61,4135.25,"Ellicott City, MD 210436857
(39.25913000004965, -76.80269999970506)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,7.544,3100.00,10777.00,"Columbia, MD 210462467
(39.17356999975584, -76.84446000002885)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.134,2131.75,5905.00,"Takoma Park, MD 209125709
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,3.019,1574.72,4313.47,"Crofton, MD 211141506
(39.01105999961948, -76.68445999962915)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,6.265,3100.00,8950.00,"Nottingham, MD 212363825
(39.38978000044682, -76.48661000025118)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Harford,2.855,1427.26,4077.89,"Forest Hill, MD 210501769
(39.573239999926216, -76.38520000017974)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.748,1334.10,3926.00,"Silver Spring, MD 209011515
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,1.608,868.92,2296.90,"St. Michaels, MD 216632118
(38.78567000007064, -76.22500000044948)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,12.984999999999999,2263.44,18550.00,"Bethesda, MD 208175507
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.277,2138.50,6110.00,"Chevy Chase, MD 208153902
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,2.316,1257.90,3308.30,"Monrovia, MD 217709112
(39.34884999972786, -77.25115999973406)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.777,1988.70,5396.18,"Potomac, MD 208543559
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.179,589.51,1684.35,"Silver Spring, MD 209065723
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.81,1504.76,4013.60,"Silver Spring, MD 209102104
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,10.708,3100.00,15297.00,"Edgewater, MD 210371621
(38.92135999996418, -76.54055999974406)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.64,885.21,2343.44,"Gaithersburg, MD 208795423
(39.166600000289975, -77.18422000015272)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,5.894,2867.00,8420.00,"Berlin, MD 218113361
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,2.6,1277.54,3714.40,"Baltimore, MD 212043618
(39.402319999568476, -76.6159899996386)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,3.78,1850.00,5400.00,"Windsor Mill, MD 212442013
(39.33613000039935, -76.76279999972007)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Harford,4.441,1707.55,6344.00,"White Hall, MD 211619623
(39.65821999955352, -76.57347000024015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,7.221,2141.58,10315.66,"Edgwater, MD 210372039
(38.92135999996418, -76.54055999974406)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,7.088,2628.75,10125.00,"Cabin John, MD 208181216
(38.974809999781826, -77.1599299996696)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.991,1059.69,2843.80,"Columbia, MD 210452531
(39.20683000020449, -76.82763000002433)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,0.781,455.25,1115.00,"Chevy Chase, MD 208156502
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,11.388999999999999,3100.00,16270.00,"Highland, MD 207779759
(39.177500000224995, -76.96719000031811)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,3.073,1549.00,4390.00,"Baltimore, MD 212245135
(39.28476999983582, -76.55652000009775)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,2.34,1169.77,3342.20,"Woodstock, MD 211631103
(39.32852000019801, -76.86568000013176)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.362,626.75,1945.00,"Gaithersburg, MD 208821502
(39.228170000445346, -77.16269999970507)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.458,1199.18,3511.00,"Silver Spring, MD 209031906
(39.011170000195534, -76.98320000027962)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.636,883.24,2337.83,"Potomac, MD 208543011
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.716,1290.00,3880.00,"Cabin John, MD 208181804
(38.974809999781826, -77.1599299996696)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,6.458,2562.50,9225.00,"Jefferson, MD 217558710
(39.36481999964343, -77.55434999965263)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.238,1506.61,4626.08,"Takoma Park, MD 209125714
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.084,641.87,1548.20,"Silver Spring, MD 209011102
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.235,544.15,1764.00,"Davidsonville, MD 210351215
(38.93626999956098, -76.633130000449)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Dorchester,4.972,2235.96,7102.92,"Cambridge, MD 216131501
(38.56205999986929, -76.0877499996626)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.86,3100.00,9800.00,"Silver Spring, MD 209101051
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Caroline,1.477,738.50,2110.00,"Preston, MD 216551948
(38.74612000003816, -75.91894000038059)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,3.871,1895.50,5530.00,"Baltimore, MD 212295413
(39.28435000025246, -76.69177000038508)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,4.685,2407.44,6692.72,"Tilghman, MD 216711176
(38.70587000010062, -76.33516000023366)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,4.33,2264.75,6185.00,"Columbia, MD 210443816
(39.21588000026196, -76.87450999993638)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,5.487,2016.08,7837.87,"Baltimore, MD 212152003
(39.34627000036039, -76.68328000007182)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,2.068,1099.20,2954.83,"St. Michaels, MD 216632942
(38.78567000007064, -76.22500000044948)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.82,1010.00,2600.00,"Rockville, MD 208546134
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,5.102,2616.15,7289.00,"Bishopville, MD 218131450
(38.42706000031893, -75.18347999970206)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.716,1423.00,3880.00,"University Park, MD 207821410
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.684,941.96,2405.60,"Potomac, MD 208545498
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.659,929.44,2369.82,"Mayo, MD 211060042
(38.89560999960196, -76.51175999992392)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.84,961.11,2629.07,"Rockville, MD 208502732
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.123,1557.05,4462.00,"Brookeville, MD 208332520
(39.18809000025345, -77.05617999960714)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.705,2675.39,8150.00,"Takoma Park, MD 209125837
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.337,1128.30,3338.00,"University Park, MD 207822132
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,4.62,1600.00,6600.00,"Catonsville, MD 212284955
(39.2773199998183, -76.73769999965509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.248,601.34,1782.44,"Pasadena, MD 211222152
(39.12812000013804, -76.51918000035658)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,3.332,1626.00,4760.00,"Highland, MD 207779766
(39.177500000224995, -76.96719000031811)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.628,1774.03,5182.95,"Gaithersburg, MD 208784805
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.923,1526.60,4176.00,"Fort Washington, MD 207443629
(38.75808999985378, -76.9834199996331)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.555,1377.50,3650.00,"University Park, MD 207821189
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.366,1283.00,3380.00,"Silver Spring, MD 209105019
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,2.125,1008.60,3035.00,"Columbia, MD 210452319
(39.20683000020449, -76.82763000002433)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,2.647,1423.70,3782.00,"Lutherville, MD 210934763
(39.442239999576486, -76.63726999981048)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.655,1927.70,5222.00,"Potomac, MD 208541701
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.225,1177.30,3178.00,"Upper Marlboro, MD 207729330
(38.79462000001314, -76.78639000029813)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,4.458,2293.77,6367.90,"Temple Hills, MD 207483715
(38.818539999621464, -76.94332000031761)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.066,1490.67,4379.67,"Takoma Park, MD 209126415
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,2.116,1123.05,3023.00,"Ocean City, MD 218428084
(38.391550000432346, -75.07021000039106)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Wicomico,1.854,991.80,2648.00,"Salisbury, MD 218042602
(38.35523000006464, -75.57144000035555)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.851,1785.59,5501.72,"Bethesda, MD 208141338
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.47,800.00,2100.00,"Rockville, MD 208512225
(39.07642000008309, -77.1214399999559)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.298,1486.16,4711.00,"Bethesda, MD 208141328
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.609,855.30,2298.00,"Germantown, MD 208741020
(39.166079999692386, -77.2739700003151)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.73,1465.00,3900.00,"Silver Spring, MD 209043531
(39.06570000035492, -76.97212999969958)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,2.114,1122.08,3020.21,"Berlin, MD 218119405
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.417,1308.48,3452.80,"Clinton, MD 207354545
(38.7568599997893, -76.89952999990942)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.527,763.35,2181.00,"University Park, MD 207821152
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,6.438,3098.45,9197.00,"Gambrills, MD 210541929
(38.986801603111644, -76.6637349998702)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,0.956,577.95,1365.60,"Columbia, MD 210454318
(39.20683000020449, -76.82763000002433)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,4.83,2480.00,6900.00,"Berlin, MD 218111455
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.392,2260.90,6274.00,"Potomac, MD 208542307
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Dorchester,1.039,619.32,1483.77,"Cambridge, MD 216133819
(38.56205999986929, -76.0877499996626)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,3.912,1921.15,5589.00,"Beltsville, MD 207051919
(39.04627999962247, -76.91894000018073)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.844,882.11,2634.60,"Silver Spring, MD 209065029
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,2.975,1600.00,4250.00,"Mount Airy, MD 217715687
(39.38336000026396, -77.15472999998934)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Charles,1.37,697.52,1957.20,"La Plata, MD 206460000
(38.52486999985075, -76.98415999958416)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.097,1113.25,2995.00,"Olney, MD 208322206
(39.15293000031943, -77.07117999975702)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.173,1046.27,3103.64,"Potomac, MD 208542023
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,5.121,2625.49,7315.68,"Bowie, MD 207153931
(38.97987000020049, -76.74245999972908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,6.09,3087.50,8700.00,"Ellicott City, MD 210421336
(39.27335999976435, -76.8619699999154)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,4.978,2431.69,7112.00,"Baltimore, MD 212312123
(39.287419999733345, -76.59137000012527)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,4.855,2354.35,6936.00,"Columbia, MD 210454501
(39.20683000020449, -76.82763000002433)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,2.669,1366.34,3812.82,"Severn, MD 211441619
(39.12680000041985, -76.69114000011075)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.726,1759.00,8180.00,"Derwood, MD 208552728
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.308,1653.75,4725.00,"Potomac, MD 208546231
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,5.989,1992.80,8556.00,"Baltimore, MD 212183110
(39.32610999967693, -76.61000999996139)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.225,2212.60,6036.00,"Potomac, MD 208541352
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,2.409,1108.55,3441.45,"Sherwood, MD 216651004
(38.748170000145535, -76.32623999987595)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.724,962.02,2462.91,"Montgomery Village, MD 208864956
(39.17500000005015, -77.1960800002916)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,4.61,2264.75,6585.00,"Frederick, MD 217022705
(39.44454000042083, -77.44032999992942)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,0.811,405.49,1158.55,"Bowie, MD 207213097
(38.91799000013856, -76.79702999993441)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.89,945.00,2700.00,"University Park, MD 207822141
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Dorchester,4.829,2479.67,6899.11,"Cambridge, MD 216131323
(38.56205999986929, -76.0877499996626)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.409,1673.50,4870.00,"Rockville, MD 208503001
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.776,1487.75,3965.00,"University park, MD 207821431
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.08,1605.00,4400.00,"Rockville, MD 208502114
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.99,2060.00,5700.00,"Silver Spring, MD 209021531
(39.040070000130584, -77.04648000015175)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.895,907.39,2706.82,"Chevy Chase, MD 208154737
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Calvert,2.657,1428.25,3795.00,"Lusby, MD 206572046
(38.36830000024497, -76.42935999966409)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.066,1598.00,4380.00,"Rockville, MD 208523229
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.166,1147.90,3094.00,"Olney, MD 208321306
(39.15293000031943, -77.07117999975702)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Queen Anne's,6.355,3100.00,9078.91,"Queenstown, MD 216581652
(38.95458000036689, -76.14477000043502)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,3.917,2058.60,5596.00,"Baltimore, MD 212122136
(39.36462999987475, -76.61039000039807)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.993,1596.25,4275.00,"University Park, MD 207821187
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.957,1578.66,4224.75,"Silver Spring, MD 209013815
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,4.058,2093.94,5797.00,"Owings Mills, MD 211171617
(39.41747999990224, -76.78530000039456)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,2.748,1370.43,3925.82,"Frederick, MD 217014758
(39.425139999711405, -77.39080999968161)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Harford,1.883,901.50,2690.00,"Forest Hill, MD 210502001
(39.573239999926216, -76.38520000017974)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,2.984,1492.05,4263.00,"Ellicott City, MD 210425009
(39.27335999976435, -76.8619699999154)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.864,1497.13,4091.80,"Rockville, MD 208532536
(39.09251000013654, -77.09383999971607)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,2.059,1094.34,2941.00,"Berlin, MD 218111727
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,1.05,590.00,1500.00,"Ocean City, MD 218425170
(38.391550000432346, -75.07021000039106)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.464,796.81,2090.87,"Pasadena, MD 211221944
(39.12812000013804, -76.51918000035658)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,1.806,1003.00,2580.00,"Ocean Pines, MD 218113237
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Dorchester,7.298,2621.75,10425.25,"Cambridge, MD 216132845
(38.56205999986929, -76.0877499996626)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.139,1169.52,3055.80,"potomac, MD 208542124
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.661,808.10,2373.17,"Arnold, MD 210121750
(39.046980000426856, -76.49303999999586)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,3.261,1600.00,4658.00,"Ellicott City, MD 210421612
(39.27335999976435, -76.8619699999154)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,1.673,936.50,2390.00,"Timonium, MD 210933402
(39.442239999576486, -76.63726999981048)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,2.993,1596.13,4275.00,"Reisterstown, MD 211365508
(39.461190000218494, -76.81506999998038)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,3.691,1772.30,5273.00,"Parkville, MD 212341831
(39.38911000012655, -76.5410800003416)"
