Program:,Program link:,County:,Savings (electricity consumption reduction in kwh):,MEA contribution:,Total project cost:,Location 1
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.292,605.89,1845.40,"Potomac, MD 208544079
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.309,719.50,1870.00,"Silver Spring, MD 209031042
(39.011170000195534, -76.98320000027962)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,1.352,618.70,1932.00,"Baltimore, MD 212174203
(39.30703000023448, -76.63587999956218)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.447,788.50,2067.14,"University Park, MD 207821433
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.45,724.92,2071.19,"Columbia, MD 210455020
(39.20683000020449, -76.82763000002433)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.408,768.85,2011.00,"Rockville, MD 208502955
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.45,790.20,2072.00,"Silver Spring, MD 209011844
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,1.373,751.41,1961.18,"Baltimore, MD 212102519
(39.35001999972337, -76.63188000036155)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.436,817.98,2051.40,"Germantown, MD 208765632
(39.19519999988023, -77.2417900002082)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.436,718.20,2052.00,"Columbia, MD 210444216
(39.21588000026196, -76.87450999993638)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.391,695.45,1987.00,"Takoma Park, MD 209126438
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.379,789.25,1969.50,"Germantown, MD 208766041
(39.19519999988023, -77.2417900002082)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.397,798.70,1996.28,"Silver Spring, MD 209064764
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,1.45,824.85,2071.00,"Baltimore, MD 212084520
(39.376229999714894, -76.72952999970954)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.478,699.03,2111.50,"Silver Spring, MD 209012247
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.47,800.00,2100.00,"Silver Spring, MD 209024973
(39.040070000130584, -77.04648000015175)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.509,854.25,2155.00,"Columbia, MD 210441002
(39.21588000026196, -76.87450999993638)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.523,861.25,2175.00,"Gaithersburg, MD 208793255
(39.166600000289975, -77.18422000015272)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.524,827.13,2177.50,"District Heights, MD 207472319
(38.85313999981133, -76.88883999976605)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.538,816.46,2197.02,"Olney, MD 208323010
(39.15293000031943, -77.07117999975702)"
